"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"dismissal [jobs] [also: permission to leave] [plötzliche Entlassung--sudden dismissal; grundlose Entlassung--discharge without cause [jobs]; dies hatte seine Entlassung zur Folge--this resulted in his dismissal or in his being dismissed] [z.B. 'Ab 2009 trägt sie auch auf der Arbeit ausschließlich den Niqab, was ihr die Entlassung als Kassiererin einbringt.']","der Tropfen (Pl.: die Tropfen)	"
"drop [kleine Menge Flüssigkeit] [bis auf den letzten Tropfen--to the last drop; ein Tropfen auf den heißen Stein--a drop in the ocean [fig.]]","der Stein (Pl.: die Steine [einzelne Steine; Steinsorten])"
"stone [Ein Stein traf ihn am Kopf.--A stone hit him on the head.]","das Ereignis (Pl.: die Ereignisse)	"
"event [bedeutsames Ereignis--significant event]","der Unterhändler (Pl.: die Unterhändler)"
"negotiator; mediator","die Abwicklung (Pl.: die Abwicklungen)	"
"completion [Erledigung] [stufenweise Abwicklung--completion in phases]; handling [Abwicklung von Zahlungen--handling of payments]; liquidation [law; comm.]","der Pfeiler (Pl.: die Pfeiler)	"
"pillar [constr.; archi.] [die drei Pfeiler halten die Brücke--the three piers support the bridge]","das Bankguthaben (Pl.: die Bankguthaben)"
"bank deposit [fin.]","die Pleite (Pl.: die Pleiten)	"
"bankruptcy [am Rande der Pleite--on the verge of bankruptcy; Pleite machen--go bankrupt]; defeat [sports]; failure","der Sparer (Pl.: die Sparer)	"
"depositor [fin.]; saver [bei Bank etc] [fin.] [ein Sparer sein--be a saver]","der Binnenmarkt (Pl.: die Binnenmärkte)"
"internal market [EU; econ.] [Europäischer Binnenmarkt--European Internal Market or European Single Market]","die Schaffung (Pl.: die Schaffungen)	"
"creation [Schaffung von Arbeitsplätzen--job creation]","der Anstoß (Pl.: die Anstöße)	"
"impetus [fig.] [den Anstoß zu weiteren Forschungen geben--give the impetus to further research]; impulse [es bedurfte eines neuen Anstoßes--a new impulse or new impetus was needed]","der Kopf (Pl.: die Köpfe)	"
"head [anat.] [kahler Kopf--bald head; Kopf oder Zahl?--Heads or tails?; einen kühlen Kopf behalten or bewahren--keep a cool head]","der Einspruch (Pl.: die Einsprüche)	"
"objection [Einspruch einlegen--raise an objection]","der Verbrecher (Pl.: die Verbrecher)	"
"criminal [berüchtigter Verbrecher--notorious criminal]","das Flugblatt (Pl.: die Flugblätter)	"
"leaflet [Flugblätter verteilen--distribute leaflets]","das Aufgebot (Pl.: die Aufgebote)	"
"contingent [von Polizei, Truppen] [massives Aufgebot der Polizei--massive presence of police] [z.B. 'Ein Großaufgebot an Polizisten durchkämmte das Gebäude…']; squad [sports]","der Randalierer (Pl.: die Randalierer)	"
"rioter; hooligan [Mehrere Randalierer wurden festgenommen.--Several hooligans were arrested]","das Anwesen (Pl.: die Anwesen)	"
"estate [RealEst.]; property [RealEst.] [Dieses Anwesen gehörte über ein Jahrhundert meiner Familie.--This property has been in my family for over a century.]","das Becken (Pl.: die Becken)	"
"pool [Schwimmbecken] [am flachen or niedrigen Ende des Beckens--in the shallow end of the pool; am Becken--by the pool]; basin [Brunnenbecken, Hafenbecken, Waschbecken]; pelvis [anat.]","der Ursprung (Pl.: die Ursprünge)	"
"origin [z.B. 'Die Gruppierung Pegida hat in der sächsischen Landeshauptstadt Dresden ihren Ursprung und kann vor allem dort immer wieder Tausende Demonstranten mobilisieren.'] [seinen Ursprung in etw. [Dat.] haben--have its origin in sth.]","das Netzwerk (Pl.: die Netzwerke)	network [Bus-Netzwerk--bus network]"
"die Vorwarnung (Pl.: die Vorwarnungen)	","advance warning [ohne Vorwarnung--without warning; der Feind griff sie ohne Vorwarnung an--they had no warning of the enemy attack]"
"die Anstrengung (Pl.: die Anstrengungen)","effort [eine Anstrengung machen--make an effort]"
"der Ärger (kein Plural)	","trouble [Unannehmlichkeiten, Streitigkeiten] [Ärger bekommen--get into trouble; Sie wollen wohl Ärger?--are you looking for trouble?]; anger [seinen Ärger unterdrücken--hold in one's anger]; resentment"
"das Vermögen (kein  Plural [Fähigkeit] / Pl.: die Vermögen [Besitz, Reichtum])","fortune [fin.] [riesiges Vermögen--immense fortune; ein Vermögen wert--worth a fortune; ein Vermögen anhäufen--amass a fortune]; assets [fin.] [frei verfügbares Vermögen--investable assets; unrechtmäßig erworbenes Vermögen--illegally gained assets; mein ganzes Vermögen besteht aus ...--my entire assets consist of ...]"
"die Wahrheit (Pl.: die Wahrheiten)	","truth [fundierte Wahrheit--established truth; in Wahrheit--in truth; die Wahrheit suchen--seek the truth; die Wahrheit unterdrücken--stifle the truth]"
"der Schrebergarten (Pl.: die Schrebergärten)","allotment [hort.]; garden plot [hort.]"
"das Grundstück (Pl.: die Grundstücke)	","plot of land [ein 2 Hektar großes Grundstück--a 2-hectare plot of land; ein Grundstück einfassen--put a fence/wall/hedge round a plot of land]; property [RealEst.] [gewerblich genutztes Grundstück--commercial property; das Grundstück wurde auf £ 100.000 geschätzt--the property was valued at £100,000; ich habe ihn von meinem Grundstück verwiesen--I warned him off my property]"
"der Verein (Pl.: die Vereine)	","society [eingetragener Verein--registered society]; club [Sportverein] [der Verein ist eine Neugründung--the club was only recently founded; ein Fest zum hundertjährigen Bestehen des Vereins--celebrations to mark the club's centenary]; association [gemeinnütziger Verein--nonprofit association]"
"das Geflecht (Pl.: die Geflechte)	","network [ein Geflecht von schneebedeckten Ästen--a web of snow-covered branches]"
"der Spaß (Pl.: die Späße)	","fun [Vergnügen] [im Spaß--for fun]; joke [Scherz] [ich hab doch nur Spaß gemacht!--I was only joking!]"
"die Wirkung (Pl.: die Wirkungen)	","effect [bei--on] [seine Wirkung tun--have an effect]; impact [Wirkung zeigen--make an impact]"
"die Bestrafung (Pl.: die Bestrafungen)	","punishment [Bestrafung vermeiden--avoid punishment]"
"die Talfahrt (Pl.: die Talfahrten)	","descent [bergabwärts] [die Konjunktur ist in der Talfahrt--there's a downtrend in economic activity] [z.B. 'Die Talfahrt des Ölpreises hatte sich beschleunigt, nachdem die Opec sich bei ihrem Treffen Ende November trotz eines weltweiten Überangebots bei gleichzeitig schwächelnder Nachfrage gegen eine Senkung der Fördermenge entschieden hatte.']"
"die Aussichten {pl} (Sg.: die Aussicht)","prospects [beste Aussichten--bright prospects]"
"die Verpflichtungen {pl} (Sg.: die Verpflichtung)","liabilities [z.B. 'Dank der aktuell niedrigen Zinsen wollen sich die Briten dieser Verpflichtung nun entledigen [get rid of].'] [bilanzunwirksame Verpflichtungen--off-balance-sheet liabilities]"
"die Einschätzung (Pl.: die Einschätzungen)","assessment [Einschätzung von Risiken--assessment of risks]"
"die Kreditwürdigkeit (kein Plural [Eigenschaft]/[selten] die Kreditwürdigkeiten [Grade/Fälle von Kreditwürdigkeit])","creditworthiness [jds. Kreditwürdigkeit überprüfen--look into sb.'s creditworthiness] (кредитоспособность)"
"der Zorn (kein Plural)	","anger [über etw. +Akk.--at sth.] [jmds. Zorn beschwichtigen--allay so.'s anger; der Zorn packte ihn--he became angry; Zorn verzerrte seine Züge.--Anger distorted his features.; sein Zorn entlud sich über mir--he vented his anger on me]"
"die Satzung (Pl.: die Satzungen)	","statute [law] [Erlass einer Satzung--issuing of a statute [admin.]]; charter [company or corporate law] [law; econ.] [Satzung einer Stiftung--charter of a foundation; Satzung {f} der Vereinten Nationen--Charter of the United Nations [pol.] {bes. österr.}]"
"der Beitrag (Pl.: die Beiträge)	","contribution [Anteil; Betrag] [einen Beitrag zu etw leisten--make a contribution to sth]; posting [internet] [einen Beitrag verfassen--post {Forum, Newsgroup}]"
"die Versammlung (Pl.: die Versammlungen)","assembly [versammelte Menschen; das Versammeln] [verfassunggebende Versammlung--legislative assembly]; meeting [Veranstaltung] [die Versammlung besuchen--attend the meeting]"
"der Leiter (Pl.: die Leiter)	","leader [Sprecher] [Leiter der Abordnung--head of a delegation]"
"die Feststellung (kein Plural [das Feststellen] / Pl.: die Feststellungen [Wahrnehmungen; Äußerungen; techn. Vorrichtungen zum Feststellen])","establishment [+von Personalien, Sachverhalt, Datum, Ursache, Grund]; statement [eine klare Feststellung der Tatsachen--a clear statement of the facts]; finding [Schlussfolgerung eines Gerichts] [law] [gerichtliche/rechtliche Feststellung--court/legal finding(s)] Feststellung der Tatsachen--fact finding]; conclusion [Erkenntnis] [zu der Feststellung kommen or gelangen, dass …--come to the conclusion that ...]"
"der Vorstand (Pl.: die Vorstände)	","board [leitendes Gremium] [achtköpfiger Vorstand--eight-member board; Sitz im Vorstand--seat on the board; jdn. in den Vorstand wählen--vote sb. on / onto the board]; chairman [Leiter; Person]; board member [Vorstandsmitglied]"
"der Zugriff (kein Plural [Möglichkeit zuzugreifen]/die Zugriffe [Handlungen, Abläufe])","access (auf +Akk.--to) [Zugriff ermöglichen--enable access; Zugriff abgelehnt--access denied; unerlaubter Zugriff--unauthorized access] [z.B. 'Letztlich war es Russland, das Europa ein goldenes Zeitalter beschert hat: Nach 1990 hatte es Zugriff auf billige, aber qualifizierte Arbeitskräfte, konnte Militärbudgets senken und die sowjetische Wissenschaft ausschlachten.']; seizure [law; comp.] [sich (A) dem Zugriff der Polizei/Gerichte entziehen--evade justice] (задержание (преступника)); grip [law]"
"die Enthüllung (Pl.: die Enthüllungen)	","revelation [von Skandal, Lüge] [noch eine sensationelle Enthüllung--another sensational revelation or disclosure]"
"das Zeitalter (Pl.: die Zeitalter)	","age [das goldene Zeitalter--the golden age; das Zeitalter der Moderne--the modern age]"
"das Ausmaß (Pl.: die Ausmaße)	","extent [+von Katastrophe] [in gefährlichem Ausmaß--to an alarming extent]"
"der Dieb (Pl.: die Diebe)	","thief [einen Dieb erwischen--catch a thief]"
"die Belegschaft (Pl.: die Belegschaften)","staff [Beschäftigte] [die Belegschaft reduzieren--cut down the staff]; workforce [esp in Fabriken etc] [die Belegschaft verringern--reduce the workforce]"
"das Ding (Pl.: die Dinge/[ugs.] die Dinger)","thing [Sache, Gegenstand; Gegebenheit] [ungebräuchliches Ding--unusual thing; wie ich die Dinge sehe--as I see things or matters]"
"das Geschlecht (Pl.: die Geschlechter)	","gender [sociol.; ling.] [grammatisches Geschlecht--grammatical gender [ling.]; weibliches Geschlecht--female gender; das andere Geschlecht--the opposite sex]; race [human race] [das menschliche Geschlecht or das Geschlecht der Menschen--the human race]"
"der Wessi (Pl.: die Wessis)	","Westerner [ugs., oft abwertend: Westdeutscher]; West German [ugs., oft abwertend: Westdeutscher]"
"der Rechtsanwalt (Pl.: die Rechtsanwälte)","lawyer [law; jobs] [einen Rechtsanwalt aufsuchen--see a lawyer; Rechtsanwalt in Strafsachen--criminal lawyer]"
"die Kanzlei (Pl.: die Kanzleien)	","office [law; admin.] [Büro; Gebäude] [Kanzlei des Gerichtshofes--court office (канцелярия суда)]"
"die Bewerbung (Pl.: die Bewerbungen)	","application [um--for] [Bewerbung um eine Stelle--application for a job]"
"die Stellenanzeige (Pl.: die Stellenanzeigen)","job advertisement [jobs]"
"der Einsteiger (Pl.: die Einsteiger)	","beginner [Auto für Einsteiger--entry-level car (автомобиль начального уровня); ein Modell für PC-Einsteiger--an entry-level PC]"
"die Entschädigung (Pl.: die Entschädigungen)","compensation [Entschädigung für Verlust oder Beschädigung--compensation for loss or damage] angemessene Entschädigung--adequate compensation; als Entschädigung für--in compensation for/of]"
"die Masche (Pl.: die Maschen)	","trick [Trick] [er versucht es immer noch auf die alte Masche--he's still trying the same old trick]; mesh [im Netz] [die Maschen eines Netzes--the mesh of a net; jdm durch die Maschen schlüpfen--slip through sb's net] (клетка сетки)"
"der Entzug (Pl.: die Entzüge)	","withdrawal [das Entziehen] [admin.; med.] [Entzug von Vergünstigungen--withdrawal of benefits]; revocation [einer Lizenz usw.] [Entzug einer Lizenz--revocation of a licence]; deprivation [Schlaf, Freiheit etc] [Entzug der Staatsangehörigkeit--deprivation of citizenship]"
"die Befindlichkeiten {pl} (Sg.: die Befindlichkeit)","sensitivities [nationale Befindlichkeiten--national sensitivities [Gefühle, Empfindlichkeiten]]"
"der Austragungsort (Pl.: die Austragungsorte)","venue [of a competition, match] [Austragungsort der Olympischen Spiele--site of the Olympic Games; Austragungsort der Winterolympiade--scene of the Winter Olympics]"
"die Vorsicht (kein Plural)	","caution [bei Gefahr] [mit Vorsicht--with caution; äußerste Vorsicht--extreme caution; Vorsicht walten lassen--exercise caution; zur Vorsicht mahnen--urge caution]"
"das Gedenken (kein Plural)	","commemoration [zum Gedenken an +Akk.--in commemoration of]; memory [an +Akk.--of] [etw in gutem Gedenken behalten--treasure the memory of sth]"
"das Rathaus (Pl.: die Rathäuser)	","town hall [archi.; admin.] [Bremer Rathaus--Bremen Town Hall; sie wohnt beim Rathaus--she lives near the town hall] (здание муниципалитета; администрация города)"
"der Umbau (kein Plural [das Umbauen] / Pl.: [Abläufe] die Umbauten/[auch] Umbaue)","modification; conversion [tech.; archi.] [zu--into] [Umbau eines Hauses--conversion of a building] [z.B. 'Scheinheilig ist Trump [Donald John Trump, Sr. is an American business magnate,  investor, television personality, author, and politician.] obendrein. Um das festzustellen, reicht ein Besuch bei Trumps neuestem Projekt, dem Umbau eines früheren Postgebäudes in Washington zum Luxushotel. Dort recherchierte die 'Washington Post' - und fand heraus, dass die meisten Bauarbeiter illegale Einwanderer aus Mexiko waren.']; renovation [archi.] [das Gebäude befindet sich im Umbau--the building is being renovated]"
"die Umbildung (Pl.: die Umbildungen)	","reshuffle [Umbildung des Kabinetts--cabinet reshuffle [pol.]]"
"der Amtsinhaber (Pl.: die Amtsinhaber)	incumbent [pol.]","die Ausrichtung (Pl.: die Ausrichtungen)"
"orientation [towards] [esp. fig.] [internationale Ausrichtung--international orientation]","der Vorsprung (Pl.: die Vorsprünge)	"
"lead [in sports, elections, etc.] [einen Vorsprung vor jdm. gewinnen--gain a lead over sb.] [z.B. 'Mit 14 Punkten Vorsprung vor dem Zweiten Wolfsburg [Wolfsburg--German football team] gehen die Bayern in die Pause - Ligarekord.']; protrusion (выпячивание; выступ; выдающаяся часть)","das Rennen (Pl.: die Rennen)	"
"race [sports] [ein Rennen gewinnen--win a race; Formel-1-Rennen--Formula-1 race]","das Gefecht (Pl.: die Gefechte)	"
"battle [mil.] [im Eifer/im Feuer/in der Hitze des Gefechts--in the heat of the battle] [z.B. 'Auch rund um Mariupol und Donezk lieferten sich Armee und Rebellen erbitterte Gefechte.']","der Rechtsruck (Pl.: die Rechtsrucke)	shift to the right [pol.]"
"das Trostpflaster (Pl.: die Trostpflaster)","consolation [fig.] [als Trostpflaster--as a consolation]"
